x,R
1.018432,36.75121
1.025323,36.82063
1.049203,36.68162
1.051312,35.85892
1.057825,36.37699
1.05949,36.30272
1.072756,36.37304
1.192729,34.84151
1.195417,34.77208
1.216008,34.54561
1.216789,34.52916
1.222137,34.52203
1.254064,34.53405
1.27874,34.74977
1.301509,34.79375
1.306668,34.89475
1.344241,35.03592
1.346854,34.53998
1.403849,34.97194
1.428769,34.71441
1.438323,35.01768
1.499425,35.04974
1.540664,35.01926
1.560127,34.79006
1.574376,34.60011
1.578912,34.61308
1.588697,34.54656
1.766393,33.00447
1.847216,32.97239
1.948155,33.2619
